,employee,companyAlias,commentId,comment,likes,dislikes,commentDate,uid,comid
938,290,56aec740f1ef260003e307d6,58729e9074f9080004b44f13,***********************************************,5.0,0.0,2017-01-08 20:17:43,11_290,11
939,242,56aec740f1ef260003e307d6,58720430d47fef0004533f33,**************************************************************************************************,8.0,3.0,2017-01-08 09:17:43,11_242,11
941,308,56aec740f1ef260003e307d6,587112a2bef60000042b73cf,*****************************,5.0,0.0,2017-01-07 16:08:47,11_308,11
942,346,56aec740f1ef260003e307d6,5870c5d2bef60000042b73c9,******************************************************************************************************************************************************************************************************************************************************************************************************************************************************************,5.0,1.0,2017-01-07 10:36:04,11_346,11
943,245,56aec740f1ef260003e307d6,5870394cbef60000042b73bf,**********************************************************************************************************************************************************,4.0,0.0,2017-01-07 00:41:26,11_245,11
944,256,56aec740f1ef260003e307d6,586fd54ebef60000042b73ad,******************,8.0,0.0,2017-01-06 17:35:41,11_256,11
945,163,56aec740f1ef260003e307d6,586fb8d196fba800044fd864,**********************************************************************************,6.0,4.0,2017-01-06 15:32:14,11_163,11
946,290,56aec740f1ef260003e307d6,586f8a6d96fba800044fd85e,************************************************,11.0,3.0,2017-01-06 12:14:54,11_290,11
947,245,56aec740f1ef260003e307d6,586f613796fba800044fd850,***************************************************************************************************************************************************************************************************************************************************************************,4.0,0.0,2017-01-06 09:18:08,11_245,11
948,491,56aec740f1ef260003e307d6,586ee3d796fba800044fd847,*************************************************,4.0,0.0,2017-01-06 00:24:05,11_491,11
949,355,56aec740f1ef260003e307d6,586edcbd96fba800044fd844,*******,2.0,1.0,2017-01-05 23:54:01,11_355,11
950,262,56aec740f1ef260003e307d6,586ec51896fba800044fd840,******************************,0.0,0.0,2017-01-05 22:17:45,11_262,11
951,242,56aec740f1ef260003e307d6,586eb9e196fba800044fd83e,********************************************************************************************************************************************************************************************************************************************************************************************************************,5.0,0.0,2017-01-05 21:19:56,11_242,11
