,employee,companyAlias,numVotes,lastParticipationDate,stillExists,uid,comid
2,2,56aec740f1ef260003e307d6,72,2017-03-17 00:00:00,True,11_2,11
4,3,56aec740f1ef260003e307d6,22,2017-02-16 00:00:00,True,11_3,11
6,4,56aec740f1ef260003e307d6,195,2017-03-20 00:00:00,True,11_4,11
8,475,56aec740f1ef260003e307d6,15,2016-11-06 18:38:30,False,11_475,11
9,5,56aec740f1ef260003e307d6,42,2017-03-14 00:00:00,True,11_5,11
12,6,56aec740f1ef260003e307d6,63,2017-02-15 10:19:59,True,11_6,11
15,7,56aec740f1ef260003e307d6,53,2017-03-17 00:00:00,True,11_7,11
16,8,56aec740f1ef260003e307d6,29,2017-01-18 00:00:00,True,11_8,11
19,10,56aec740f1ef260003e307d6,56,2017-03-10 00:00:00,True,11_10,11
22,12,56aec740f1ef260003e307d6,69,2017-03-06 08:51:42,True,11_12,11
23,13,56aec740f1ef260003e307d6,76,2017-03-20 11:28:45,True,11_13,11
25,16,56aec740f1ef260003e307d6,90,2017-02-16 10:11:21,True,11_16,11
28,18,56aec740f1ef260003e307d6,170,2017-03-20 13:23:02,True,11_18,11
29,19,56aec740f1ef260003e307d6,100,2017-03-08 14:04:39,True,11_19,11
32,21,56aec740f1ef260003e307d6,191,2017-03-14 00:00:00,True,11_21,11
34,23,56aec740f1ef260003e307d6,56,2017-03-09 06:35:49,True,11_23,11
35,24,56aec740f1ef260003e307d6,404,2017-03-20 18:00:17,True,11_24,11
41,28,56aec740f1ef260003e307d6,137,2017-03-20 00:00:00,True,11_28,11
42,29,56aec740f1ef260003e307d6,45,2017-02-24 00:00:00,True,11_29,11
44,31,56aec740f1ef260003e307d6,53,2017-03-19 13:07:15,True,11_31,11
45,32,56aec740f1ef260003e307d6,182,2017-03-19 00:00:00,True,11_32,11
46,33,56aec740f1ef260003e307d6,253,2017-03-20 00:00:00,True,11_33,11
47,34,56aec740f1ef260003e307d6,369,2017-03-20 15:44:02,True,11_34,11
49,38,56aec740f1ef260003e307d6,64,2017-03-10 07:17:03,True,11_38,11
55,47,56aec740f1ef260003e307d6,16,2017-03-16 12:07:26,True,11_47,11
56,51,56aec740f1ef260003e307d6,79,2017-03-20 00:00:00,True,11_51,11
61,59,56aec740f1ef260003e307d6,151,2017-03-20 00:00:00,True,11_59,11
65,66,56aec740f1ef260003e307d6,36,2017-02-14 13:43:40,True,11_66,11
68,69,56aec740f1ef260003e307d6,233,2017-03-19 00:00:00,True,11_69,11
71,73,56aec740f1ef260003e307d6,139,2017-03-03 00:00:00,True,11_73,11
76,79,56aec740f1ef260003e307d6,194,2017-03-20 09:03:28,True,11_79,11
80,83,56aec740f1ef260003e307d6,20,2017-02-24 00:00:00,True,11_83,11
81,84,56aec740f1ef260003e307d6,55,2017-02-17 00:00:00,True,11_84,11
84,87,56aec740f1ef260003e307d6,85,2017-03-15 00:00:00,True,11_87,11
85,89,56aec740f1ef260003e307d6,155,2017-03-14 12:20:44,True,11_89,11
87,91,56aec740f1ef260003e307d6,54,2017-02-17 00:00:00,True,11_91,11
88,92,56aec740f1ef260003e307d6,74,2017-03-10 00:00:00,True,11_92,11
90,94,56aec740f1ef260003e307d6,100,2017-03-10 00:00:00,True,11_94,11
91,95,56aec740f1ef260003e307d6,95,2017-03-17 00:00:00,True,11_95,11
92,96,56aec740f1ef260003e307d6,85,2017-03-17 00:00:00,True,11_96,11
93,97,56aec740f1ef260003e307d6,17,2017-03-01 13:38:11,True,11_97,11
94,98,56aec740f1ef260003e307d6,20,2017-03-08 00:00:00,True,11_98,11
95,99,56aec740f1ef260003e307d6,37,2017-03-20 00:00:00,True,11_99,11
96,100,56aec740f1ef260003e307d6,187,2017-03-20 07:11:08,True,11_100,11
97,101,56aec740f1ef260003e307d6,312,2017-03-20 07:11:08,True,11_101,11
98,102,56aec740f1ef260003e307d6,245,2017-03-20 00:00:00,True,11_102,11
99,103,56aec740f1ef260003e307d6,201,2017-03-20 00:00:00,True,11_103,11
101,105,56aec740f1ef260003e307d6,77,2017-03-16 00:00:00,True,11_105,11
103,107,56aec740f1ef260003e307d6,205,2017-03-17 12:30:43,True,11_107,11
104,108,56aec740f1ef260003e307d6,82,2017-03-16 00:00:00,True,11_108,11
108,114,56aec740f1ef260003e307d6,180,2017-03-14 11:28:00,True,11_114,11
110,116,56aec740f1ef260003e307d6,118,2017-03-20 06:47:12,True,11_116,11
111,117,56aec740f1ef260003e307d6,87,2017-03-06 00:00:00,True,11_117,11
112,119,56aec740f1ef260003e307d6,64,2017-03-16 22:12:07,True,11_119,11
114,122,56aec740f1ef260003e307d6,57,2017-03-14 11:28:00,True,11_122,11
116,124,56aec740f1ef260003e307d6,235,2017-03-20 13:30:50,True,11_124,11
117,125,56aec740f1ef260003e307d6,28,2017-03-18 00:00:00,True,11_125,11
118,126,56aec740f1ef260003e307d6,265,2017-03-17 00:00:00,True,11_126,11
122,131,56aec740f1ef260003e307d6,103,2017-03-20 00:00:00,True,11_131,11
124,135,56aec740f1ef260003e307d6,146,2017-03-20 15:06:08,True,11_135,11
125,136,56aec740f1ef260003e307d6,50,2017-01-26 11:36:57,True,11_136,11
128,139,56aec740f1ef260003e307d6,216,2017-03-20 00:00:00,True,11_139,11
129,140,56aec740f1ef260003e307d6,150,2017-03-20 00:00:00,True,11_140,11
130,142,56aec740f1ef260003e307d6,63,2017-03-15 00:00:00,True,11_142,11
131,144,56aec740f1ef260003e307d6,41,2017-03-02 13:02:03,True,11_144,11
133,147,56aec740f1ef260003e307d6,77,2017-03-20 08:13:39,True,11_147,11
137,151,56aec740f1ef260003e307d6,52,2017-02-16 14:25:47,True,11_151,11
138,152,56aec740f1ef260003e307d6,371,2017-03-20 15:44:02,True,11_152,11
140,155,56aec740f1ef260003e307d6,124,2017-01-09 00:00:00,False,11_155,11
144,163,56aec740f1ef260003e307d6,285,2017-03-20 00:00:00,True,11_163,11
145,164,56aec740f1ef260003e307d6,188,2017-03-20 15:44:02,True,11_164,11
146,166,56aec740f1ef260003e307d6,21,2017-03-10 00:00:00,True,11_166,11
147,169,56aec740f1ef260003e307d6,364,2017-03-20 13:30:50,True,11_169,11
148,170,56aec740f1ef260003e307d6,236,2017-03-20 11:28:45,True,11_170,11
149,171,56aec740f1ef260003e307d6,8,2017-02-06 00:00:00,True,11_171,11
150,172,56aec740f1ef260003e307d6,77,2017-03-20 15:44:02,True,11_172,11
151,174,56aec740f1ef260003e307d6,28,2017-03-15 07:42:21,True,11_174,11
152,175,56aec740f1ef260003e307d6,56,2017-03-20 11:28:45,True,11_175,11
157,181,56aec740f1ef260003e307d6,7,2017-03-20 00:00:00,True,11_181,11
158,183,56aec740f1ef260003e307d6,126,2017-03-17 15:34:02,True,11_183,11
161,186,56aec740f1ef260003e307d6,120,2017-03-18 11:46:11,True,11_186,11
165,194,56aec740f1ef260003e307d6,160,2017-03-19 00:00:00,True,11_194,11
167,196,56aec740f1ef260003e307d6,317,2017-01-24 00:00:00,True,11_196,11
169,198,56aec740f1ef260003e307d6,21,2017-03-18 00:00:00,True,11_198,11
170,199,56aec740f1ef260003e307d6,20,2017-01-31 13:42:37,True,11_199,11
172,201,56aec740f1ef260003e307d6,98,2017-02-20 00:00:00,True,11_201,11
174,206,56aec740f1ef260003e307d6,69,2017-03-17 20:02:45,True,11_206,11
177,209,56aec740f1ef260003e307d6,314,2017-03-20 00:00:00,True,11_209,11
180,212,56aec740f1ef260003e307d6,70,2017-03-18 11:46:11,True,11_212,11
181,213,56aec740f1ef260003e307d6,287,2017-03-19 13:07:15,True,11_213,11
182,214,56aec740f1ef260003e307d6,281,2017-03-20 00:00:00,True,11_214,11
184,216,56aec740f1ef260003e307d6,240,2017-03-19 00:00:00,True,11_216,11
185,217,56aec740f1ef260003e307d6,256,2017-03-20 17:55:16,True,11_217,11
186,218,56aec740f1ef260003e307d6,249,2017-03-20 00:00:00,True,11_218,11
189,223,56aec740f1ef260003e307d6,99,2017-03-14 16:01:59,True,11_223,11
191,225,56aec740f1ef260003e307d6,194,2017-03-20 13:30:50,True,11_225,11
193,227,56aec740f1ef260003e307d6,24,2017-02-22 00:00:00,True,11_227,11
195,230,56aec740f1ef260003e307d6,21,2017-03-05 00:00:00,True,11_230,11
197,232,56aec740f1ef260003e307d6,89,2017-01-09 07:53:39,False,11_232,11
199,236,56aec740f1ef260003e307d6,94,2017-03-20 00:00:00,True,11_236,11
200,237,56aec740f1ef260003e307d6,92,2017-03-20 00:00:00,True,11_237,11
201,238,56aec740f1ef260003e307d6,17,2017-03-13 00:00:00,True,11_238,11
203,240,56aec740f1ef260003e307d6,34,2017-03-15 00:00:00,True,11_240,11
204,242,56aec740f1ef260003e307d6,159,2017-03-20 00:00:00,True,11_242,11
206,244,56aec740f1ef260003e307d6,44,2017-03-16 16:18:46,True,11_244,11
