companyAlias,employee,first_date,lastParticipationDate,stillExists,churn,comp_short,uid
5370af43e4b0cff95558c12a,18,2016-02-22 00:00:00,2017-03-12 00:00:00,True,0,0,0_18
5370af43e4b0cff95558c12a,21,2016-02-22 00:00:00,2016-12-27 00:00:00,True,0,0,0_21
5370af43e4b0cff95558c12a,25,2016-02-23 00:00:00,2017-03-20 00:00:00,True,0,0,0_25
5370af43e4b0cff95558c12a,26,2016-03-18 00:00:00,2017-03-06 00:00:00,True,0,0,0_26
5370af43e4b0cff95558c12a,27,2016-02-22 00:00:00,2017-03-06 00:00:00,True,0,0,0_27
5370af43e4b0cff95558c12a,28,2016-02-23 00:00:00,2017-01-30 16:02:25,True,0,0,0_28
5370af43e4b0cff95558c12a,32,2016-02-25 00:00:00,2017-01-25 00:00:00,True,0,0,0_32
5370af43e4b0cff95558c12a,38,2016-02-22 00:00:00,2017-03-20 07:57:56,True,0,0,0_38
5370af43e4b0cff95558c12a,39,2016-02-22 00:00:00,2017-03-17 00:00:00,True,0,0,0_39
5370af43e4b0cff95558c12a,40,2016-03-17 00:00:00,2017-03-11 00:00:00,True,0,0,0_40
5370af43e4b0cff95558c12a,43,2016-02-23 00:00:00,2017-02-09 00:00:00,True,0,0,0_43
5370af43e4b0cff95558c12a,48,2016-02-24 00:00:00,2017-02-06 00:00:00,True,0,0,0_48
5370af43e4b0cff95558c12a,52,2016-02-22 00:00:00,2017-03-20 00:00:00,True,0,0,0_52
5370af43e4b0cff95558c12a,53,2016-02-23 00:00:00,2017-03-15 15:54:39,True,0,0,0_53
5370af43e4b0cff95558c12a,54,2016-02-23 00:00:00,2017-03-03 15:57:19,False,1,0,0_54
5370af43e4b0cff95558c12a,56,2016-02-23 00:00:00,2017-03-06 00:00:00,True,0,0,0_56
5370af43e4b0cff95558c12a,57,2016-03-08 00:00:00,2017-03-08 00:00:00,True,0,0,0_57
