uid,votes_num
0_18,1
0_21,0
0_259,1
0_26,0
0_269,0
0_271,0
0_272,1
0_38,1
0_40,1
0_42,0
0_60,0
0_62,1
11_100,1
11_101,1
11_102,1
11_103,1
11_105,1
11_107,1
11_114,0
11_116,1
11_12,0
11_124,1
11_126,1
11_13,0
11_135,1
11_137,1
11_139,1
11_140,1
11_152,1
11_159,1
11_163,1
11_164,1
11_169,1
11_170,1
11_172,1
11_18,1
11_183,1
11_184,1
11_186,0
11_19,0
11_194,1
11_196,1
11_209,1
11_21,0
11_213,1
11_214,1
11_216,1
11_217,1
11_218,1
11_225,1
11_232,1
11_236,1
11_237,1
11_24,1
11_240,0
11_242,1
11_244,0
11_245,1
11_246,1
11_254,0
11_255,1
11_256,1
11_259,1
11_26,1
11_262,1
11_266,1
11_268,0
11_269,1
11_271,1
11_272,1
11_273,1
11_274,1
11_276,1
11_28,1
11_280,1
11_282,1
11_290,0
11_291,1
11_296,1
11_297,1
11_298,1
11_305,1
11_307,0
11_308,1
11_309,1
11_310,1
11_312,1
11_325,0
11_326,1
11_328,1
11_33,1
11_331,0
11_34,1
11_340,1
11_346,1
11_351,1
11_353,1
11_355,1
11_356,1
11_359,1
11_36,1
11_380,1
11_381,1
11_382,1
11_389,1
11_4,1
11_400,1
11_412,1
11_420,1
11_432,1
11_433,1
11_435,0
11_436,1
11_441,1
11_444,1
11_445,0
11_449,1
11_453,1
11_465,1
11_469,1
11_478,0
11_485,1
11_491,1
11_492,1
11_58,1
11_59,1
11_69,1
11_7,1
11_74,1
11_79,1
11_89,1
11_91,0
11_92,0
11_93,1
11_95,1
12_1,1
12_101,1
12_109,1
12_13,1
12_15,0
12_2,1
12_26,1
12_28,1
12_3,1
12_30,1
12_32,0
12_38,1
12_39,1
12_4,1
12_43,1
12_47,0
12_55,1
12_56,1
12_6,1
12_77,1
12_8,1
12_9,1
12_96,1
12_98,1
13_100,1
13_11,1
13_12,1
13_25,1
13_27,1
13_28,1
13_31,1
13_37,0
13_38,0
13_42,1
13_6,1
13_61,1
13_8,0
13_91,1
16_1,1
16_103,1
16_104,1
16_106,1
16_107,1
16_108,1
16_109,1
16_11,1
16_110,1
16_111,1
16_113,1
16_114,1
16_115,1
16_116,1
16_119,1
16_12,1
16_120,0
16_122,1
16_123,1
16_124,0
16_125,1
16_132,1
16_136,1
16_139,1
16_14,1
16_144,1
16_145,1
16_146,1
16_148,1
16_150,1
16_151,1
16_152,1
16_153,1
16_154,1
16_155,1
16_156,1
16_157,0
16_158,1
16_16,1
16_162,1
16_163,1
16_164,1
16_169,1
16_17,1
16_173,1
16_174,0
16_177,1
16_179,0
16_18,1
16_181,1
16_182,1
16_183,1
16_187,1
16_189,1
16_191,1
16_192,1
16_194,1
16_195,1
16_196,1
16_197,1
16_199,1
16_2,1
16_202,1
16_204,1
16_205,1
16_207,1
16_21,1
16_210,1
16_212,1
16_213,1
16_24,1
16_25,1
16_27,1
16_28,1
16_3,1
16_30,1
16_31,1
16_33,1
16_34,1
16_38,1
16_39,1
16_4,0
16_40,1
16_41,1
16_43,1
16_44,1
16_45,1
16_46,1
16_47,1
16_49,1
16_5,1
16_50,1
16_51,1
16_56,1
16_58,1
16_6,1
16_60,1
16_61,1
16_64,1
16_66,1
16_67,1
16_7,1
16_73,1
16_75,1
16_76,1
16_78,1
16_79,0
16_81,1
16_83,1
16_87,1
16_88,1
16_9,1
16_90,1
16_91,1
16_92,1
16_93,1
16_94,1
16_95,1
16_96,1
16_97,1
16_98,1
17_1,0
17_100,1
17_104,1
17_109,1
17_114,0
17_117,1
17_118,0
17_128,1
17_133,1
17_136,1
17_137,0
17_140,1
17_147,1
17_19,1
17_25,0
17_26,1
17_34,1
17_36,1
17_45,1
17_6,1
17_68,1
17_69,0
17_7,1
17_75,1
17_78,0
17_8,1
17_80,1
17_87,1
17_9,0
17_92,1
17_94,1
17_96,1
17_98,1
18_1,1
18_100,1
18_101,1
18_105,0
18_109,0
18_110,1
18_112,1
18_113,1
18_115,0
18_117,1
18_12,1
18_121,1
18_122,1
18_125,1
18_128,0
18_130,1
18_14,1
18_141,1
18_147,0
18_149,1
18_150,1
18_158,1
18_176,1
18_177,0
18_182,0
18_19,1
18_190,0
18_195,1
18_197,1
18_201,1
18_205,1
18_207,1
18_208,0
18_210,1
18_211,0
18_226,1
18_245,1
18_250,1
18_251,1
18_257,1
18_258,1
18_261,1
18_263,1
18_266,1
18_267,1
18_269,1
18_277,1
18_278,0
18_290,1
18_297,0
18_3,1
18_313,1
18_314,0
18_315,0
18_316,1
18_317,0
18_32,1
18_327,1
18_34,0
18_340,1
18_342,1
18_346,1
18_347,0
18_356,1
18_360,1
18_361,1
18_370,1
18_372,1
18_373,1
18_375,1
18_376,1
18_379,0
18_38,1
18_39,1
18_42,0
18_49,1
18_54,1
18_56,1
18_58,1
18_6,1
18_60,1
18_70,0
18_86,1
18_9,1
18_95,1
19_1,0
19_18,1
19_79,1
19_8,1
19_9,0
20_106,1
20_119,1
20_126,1
20_129,1
20_14,1
20_143,1
20_144,1
20_147,1
20_151,0
20_152,1
20_157,0
20_160,1
20_165,0
20_173,1
20_191,1
20_202,1
20_203,1
20_209,0
20_223,1
20_225,1
20_233,0
20_236,1
20_238,1
20_239,0
20_244,1
20_254,1
20_267,1
20_275,1
20_281,1
20_3,1
20_30,0
20_31,1
20_32,1
20_320,0
20_324,1
20_325,1
20_36,0
20_46,1
20_53,1
20_57,1
20_61,1
20_66,1
20_69,1
20_75,1
20_77,0
21_1,1
21_102,0
21_103,1
21_105,1
21_107,1
21_111,1
21_115,1
21_118,1
21_12,1
21_125,0
21_140,1
21_142,1
21_147,1
21_150,1
21_152,0
21_156,1
21_158,1
21_163,0
21_165,1
21_166,1
21_22,0
21_23,1
21_26,1
21_28,1
21_29,0
21_3,0
21_31,1
21_32,1
21_36,0
21_38,1
21_40,1
21_41,1
21_42,1
21_43,1
21_44,0
21_45,1
21_49,1
21_5,1
21_50,1
21_58,0
21_6,1
21_63,0
21_68,1
21_78,0
21_8,1
21_82,1
21_83,1
21_84,1
21_87,1
21_95,1
21_97,1
22_11,1
22_12,1
22_14,1
22_15,1
22_16,0
22_17,1
22_19,1
22_21,1
22_24,1
22_30,1
22_31,1
22_33,1
22_34,0
22_35,1
22_38,1
22_39,1
22_41,0
22_44,1
22_46,0
22_47,1
22_5,1
22_50,1
22_6,1
22_8,1
22_9,1
23_1,1
23_12,1
23_13,1
23_14,1
23_16,1
23_17,1
23_18,1
23_19,1
23_2,0
23_28,1
23_35,1
23_40,1
23_43,1
23_5,0
23_6,1
24_116,1
24_120,1
24_121,1
24_128,0
24_130,1
24_144,1
24_152,1
24_154,0
24_164,1
24_170,1
24_172,0
24_180,1
24_185,1
24_189,1
24_190,1
24_191,1
24_194,0
24_202,1
24_219,1
24_237,1
24_238,1
24_241,1
24_244,0
24_250,1
24_251,0
24_256,0
24_260,1
24_263,1
24_264,1
24_276,1
24_29,1
24_291,1
24_297,0
24_33,0
24_38,1
24_39,1
24_41,0
24_43,1
24_52,1
24_59,1
24_6,1
24_62,0
24_66,1
24_68,1
24_90,1
24_93,1
26_100,1
26_104,1
26_106,1
26_109,1
26_114,1
26_116,1
26_118,0
26_124,1
26_125,0
26_126,1
26_13,0
26_131,1
26_134,1
26_139,1
26_141,1
26_144,1
26_145,1
26_15,0
26_155,1
26_158,1
26_161,1
26_166,1
26_169,1
26_170,1
26_171,1
26_172,1
26_175,0
26_177,0
26_18,1
26_180,1
26_185,1
26_187,1
26_188,1
26_19,1
26_198,1
26_201,1
26_202,1
26_210,1
26_211,1
26_218,1
26_222,1
26_224,1
26_232,1
26_245,1
26_246,1
26_247,1
26_251,1
26_253,1
26_261,0
26_262,1
26_266,1
26_268,1
26_271,1
26_273,1
26_276,1
26_286,1
26_287,0
26_288,1
26_29,0
26_291,1
26_293,0
26_299,1
26_3,1
26_300,1
26_307,1
26_31,0
26_310,1
26_311,1
26_312,1
26_315,1
26_316,1
26_33,1
26_35,1
26_36,1
26_41,1
26_43,1
26_45,1
26_48,0
26_52,1
26_57,1
26_58,1
26_6,0
26_62,1
26_67,1
26_72,1
26_75,1
26_80,1
26_82,1
26_83,1
26_85,1
26_86,0
26_89,1
26_92,1
29_1,0
29_104,1
29_107,1
29_110,1
