uid,votes_num
0_18,1
0_20,1
0_259,1
0_27,1
0_31,1
0_32,1
0_33,0
0_37,1
0_38,1
0_39,1
0_51,1
0_52,1
0_55,1
0_56,1
0_57,1
0_62,1
0_63,1
0_64,1
11_10,1
11_100,1
11_101,1
11_102,1
11_103,1
11_107,1
11_108,0
11_114,1
11_116,1
11_119,1
11_12,1
11_122,1
11_124,1
11_125,1
11_126,1
11_128,0
11_13,1
11_131,1
11_135,1
11_136,1
11_137,1
11_138,1
11_139,1
11_140,1
11_142,0
11_144,1
11_147,1
11_151,1
11_152,1
11_155,1
11_159,1
11_16,1
11_163,1
11_164,1
11_169,1
11_170,1
11_172,1
11_174,0
11_178,0
11_18,1
11_183,1
11_184,1
11_186,1
11_19,1
11_192,0
11_194,1
11_196,1
11_199,0
11_2,0
11_201,1
11_203,1
11_209,1
11_21,1
11_212,0
11_213,1
11_214,1
11_216,1
11_217,1
11_218,1
11_223,1
11_225,1
11_226,1
11_227,0
11_23,1
11_230,1
11_232,1
11_236,1
11_237,1
11_24,1
11_240,1
11_242,1
11_245,1
11_246,1
11_249,1
11_250,1
11_254,1
11_255,1
11_257,1
11_259,0
11_26,1
11_263,1
11_266,1
11_269,1
11_271,1
11_272,1
11_273,1
11_274,1
11_276,1
11_28,1
11_280,1
11_282,1
11_284,1
11_286,1
11_290,1
11_291,1
11_293,0
11_294,1
11_296,1
11_297,1
11_298,1
11_303,1
11_304,1
11_305,1
11_307,1
11_308,1
11_309,1
11_31,0
11_310,1
11_311,0
11_312,1
11_325,1
11_326,1
11_328,1
11_33,1
11_331,1
11_334,0
11_335,1
11_34,1
11_340,1
11_346,1
11_351,1
11_353,1
11_355,1
11_356,1
11_357,1
11_359,1
11_36,1
11_38,1
11_380,1
11_381,1
11_382,1
11_389,1
11_4,1
11_400,1
11_432,1
11_433,1
11_435,0
11_436,1
11_441,1
11_444,1
11_445,1
11_449,1
11_450,1
11_453,1
11_465,1
11_469,1
11_478,1
11_492,1
11_5,1
11_51,1
11_52,1
11_58,1
11_59,1
11_6,1
11_66,1
11_68,0
11_69,1
11_7,1
11_73,1
11_74,1
11_79,1
11_8,1
11_87,1
11_89,1
11_91,1
11_92,1
11_93,1
11_94,1
11_95,1
11_96,1
11_98,1
11_99,1
12_1,1
12_101,1
12_103,1
12_104,0
12_108,1
12_13,1
12_15,1
12_18,1
12_2,1
12_23,1
12_26,1
12_27,1
12_28,1
12_3,1
12_30,1
12_31,1
12_32,1
12_37,1
12_38,1
12_39,1
12_4,1
12_43,1
12_47,1
12_5,0
12_52,1
12_55,1
12_56,1
12_57,1
12_6,1
12_7,1
12_77,1
12_8,1
12_9,1
12_91,0
12_96,1
12_98,1
13_11,1
13_12,1
13_25,1
13_27,1
13_28,1
13_31,1
13_37,1
13_38,1
13_40,1
13_41,1
13_42,1
13_6,1
13_61,1
13_63,1
13_7,1
13_77,1
13_8,1
13_91,1
13_94,1
16_1,1
16_10,1
16_103,1
16_104,1
16_105,1
16_106,1
16_107,1
16_108,1
16_109,1
16_11,1
16_110,1
16_111,1
16_113,1
16_114,1
16_115,1
16_116,1
16_119,1
16_12,1
16_120,1
16_122,1
16_123,1
16_124,1
16_125,1
16_126,1
16_127,1
16_13,1
16_132,1
16_139,1
16_14,1
16_144,1
16_145,1
16_146,1
16_148,1
16_149,1
16_150,1
16_151,1
16_152,1
16_153,1
16_154,1
16_155,1
16_156,1
16_157,1
16_158,1
16_159,1
16_16,1
16_162,1
16_163,1
16_164,1
16_169,1
16_17,1
16_173,1
16_174,1
16_177,1
16_179,1
16_18,1
16_180,1
16_181,1
16_182,1
16_183,1
16_187,1
16_189,1
16_190,1
16_191,1
16_192,1
16_194,1
16_195,1
16_196,1
16_197,1
16_199,1
16_2,1
16_20,1
16_202,1
16_204,1
16_205,1
16_207,1
16_21,1
16_210,1
16_212,1
16_24,1
16_25,1
16_27,1
16_28,1
16_3,1
16_30,1
16_31,1
16_32,0
16_33,1
16_34,1
16_38,1
16_39,1
16_4,1
16_40,1
16_41,1
16_42,1
16_43,1
16_44,1
16_45,1
16_46,1
16_47,1
16_49,1
16_5,1
16_50,1
16_51,1
16_53,1
16_56,1
16_58,1
16_6,1
16_60,1
16_61,1
16_64,1
16_66,1
16_67,1
16_7,1
16_73,1
16_75,1
16_76,1
16_78,1
16_8,1
16_81,1
16_83,1
16_87,1
16_88,1
16_89,1
16_9,1
16_90,1
16_91,1
16_92,1
16_93,1
16_94,1
16_95,1
16_96,1
16_98,1
17_1,1
17_100,1
17_104,1
17_109,1
17_113,1
17_114,1
17_115,1
17_117,1
17_118,1
17_124,1
17_125,0
17_128,1
17_129,0
17_130,1
17_131,0
17_133,1
17_136,1
17_137,1
17_138,0
17_140,1
17_146,0
17_147,1
17_15,1
17_19,1
17_2,1
17_20,1
17_22,1
17_26,1
17_27,1
17_3,1
17_30,1
17_34,1
17_36,1
17_37,1
17_4,1
17_40,1
17_42,0
17_45,1
17_5,1
17_53,0
17_54,0
17_6,1
17_68,1
17_69,1
17_7,1
17_75,1
17_78,1
17_8,1
17_80,1
17_85,1
17_87,1
17_9,1
17_92,1
17_94,1
17_96,1
17_97,1
17_98,1
18_1,1
18_100,0
18_103,1
18_105,0
18_107,0
18_109,1
18_110,1
18_112,1
18_113,1
18_115,1
18_117,1
18_119,1
18_121,1
18_122,1
18_124,1
18_125,1
18_126,0
18_128,1
18_130,1
18_138,0
18_14,1
18_147,0
18_149,1
18_150,1
18_151,1
18_158,1
18_16,1
18_160,1
18_161,1
18_170,1
18_176,1
18_177,1
18_182,1
18_187,1
18_19,1
18_190,1
18_195,1
18_2,0
18_201,1
18_205,1
18_207,1
18_210,1
18_211,1
18_235,0
18_242,1
18_244,1
18_245,1
18_250,1
18_251,1
18_257,1
18_258,1
18_263,1
18_266,1
18_268,1
18_269,0
18_27,1
18_275,1
18_277,1
18_278,1
18_28,0
18_286,0
18_289,1
18_29,1
18_290,1
18_291,1
18_293,1
18_297,1
18_3,1
18_313,0
18_314,1
18_315,0
18_316,1
18_317,0
18_32,1
18_327,1
18_34,1
18_342,0
18_346,1
18_347,0
18_352,1
18_354,0
18_356,1
18_360,1
18_361,0
18_362,1
18_365,0
18_370,0
18_372,1
18_373,1
18_375,1
18_379,1
18_38,1
18_383,1
18_39,1
18_42,1
18_46,1
18_49,1
18_54,1
18_57,0
18_58,1
18_59,1
18_6,1
18_60,1
18_70,1
18_73,1
18_78,1
18_81,1
18_86,1
18_9,1
18_91,1
18_95,1
19_1,1
19_18,1
19_2,0
19_3,1
19_8,1
19_9,1
1_100,1
1_102,1
1_133,0
1_141,1
1_147,1
1_161,1
1_180,1
1_182,1
1_188,1
1_28,1
1_72,1
20_100,1
20_103,1
20_106,1
20_119,1
20_126,1
20_129,1
20_13,1
20_143,1
20_144,1
20_147,1
20_148,1
20_151,1
20_152,1
20_160,1
20_161,1
20_169,1
20_173,1
20_202,1
20_203,1
20_223,1
20_225,1
20_226,1
20_233,0
20_235,1
20_238,1
20_239,1
20_24,1
20_254,1
20_267,1
20_275,1
20_281,1
20_3,1
20_31,1
20_32,1
20_35,1
20_53,1
20_57,1
20_61,1
20_69,1
20_75,1
20_77,1
20_82,0
21_1,1
21_10,0
21_102,1
21_103,1
21_105,1
21_107,1
21_111,1
21_115,1
21_118,1
21_12,1
21_122,1
21_125,1
21_131,1
21_132,1
21_140,1
21_142,1
21_147,1
21_150,1
21_152,1
21_154,1
21_156,1
21_158,1
21_16,1
21_162,1
21_163,1
21_164,1
21_165,1
21_166,1
21_17,0
21_19,1
21_21,1
21_22,1
21_23,1
21_25,1
21_26,1
21_28,1
21_29,1
21_3,1
21_30,1
21_31,1
21_32,1
21_36,1
21_37,1
21_38,1
21_40,1
21_41,1
21_42,1
21_43,1
21_45,1
21_49,1
21_5,1
21_50,1
21_54,0
21_58,1
21_6,1
21_60,1
21_63,1
21_68,1
21_78,1
21_8,1
21_82,1
21_83,1
21_84,1
21_93,1
21_95,1
21_97,1
22_11,1
22_12,1
22_14,1
22_15,1
22_16,1
22_17,1
22_21,1
22_24,1
22_30,1
22_31,1
22_32,1
22_33,1
22_34,1
22_35,1
22_38,1
22_39,1
22_4,1
22_41,1
22_43,1
22_44,1
22_45,1
22_46,1
22_47,1
22_5,1
22_6,1
22_8,1
22_9,1
23_1,1
23_12,1
23_13,1
23_14,1
23_15,1
23_16,1
23_17,1
23_18,1
23_19,1
23_2,1
23_20,1
23_22,1
23_26,1
23_28,1
23_33,1
23_34,1
23_35,1
23_36,1
23_38,0
23_40,1
23_41,0
23_43,1
23_45,1
23_47,1
23_48,1
23_5,1
23_6,1
23_8,1
24_101,1
24_11,1
24_114,1
24_119,1
24_120,1
24_121,1
24_125,1
24_126,1
24_127,1
24_128,1
24_129,0
24_130,1
24_138,1
24_144,1
24_149,1
24_15,1
24_152,1
24_154,1
24_16,1
24_164,1
24_169,1
24_170,1
24_172,1
24_179,1
24_180,1
24_185,1
24_189,1
24_19,1
24_190,1
24_191,1
24_193,1
24_202,1
24_204,0
24_205,1
24_206,1
24_211,0
24_219,1
24_221,1
24_228,1
24_234,1
24_237,1
24_238,1
24_239,1
24_24,1
24_240,1
24_241,1
24_242,1
24_243,1
24_244,1
24_248,1
24_249,1
24_250,1
24_251,1
24_254,1
24_256,1
24_259,1
24_260,1
24_262,1
24_263,1
24_264,1
24_266,1
24_269,0
24_276,1
24_284,1
24_285,1
24_287,1
24_288,1
24_29,1
24_290,1
24_291,1
24_297,0
24_37,1
24_38,1
24_39,1
24_41,1
24_43,1
24_44,1
24_52,1
24_55,0
24_58,1
24_59,1
24_6,1
24_62,1
24_64,1
24_66,1
24_67,1
24_68,1
24_70,1
24_73,1
24_76,1
24_9,0
24_90,1
24_93,1
25_3,1
25_7,1
26_1,1
26_10,0
26_104,1
26_106,1
26_111,1
26_112,1
26_114,1
26_116,1
26_118,1
26_124,1
26_125,1
26_13,1
26_131,1
26_134,1
26_137,0
26_139,1
26_141,1
26_144,1
26_145,1
26_15,1
26_155,1
26_158,1
26_161,1
26_166,1
26_169,1
26_170,1
26_171,1
26_18,1
26_180,1
26_185,1
26_187,1
26_188,1
26_19,1
26_191,1
26_198,1
26_201,1
26_202,1
26_204,0
26_210,1
26_211,1
26_212,0
26_218,1
26_220,1
26_222,1
26_224,1
26_227,0
26_232,1
26_245,1
26_246,1
26_247,1
