uid,CE_votes_3,CE_votes_num,CE_votes_mean,CE_votes_2,CE_votes_std,CE_votes_1,CE_votes_4,CE_likes_mean,CE_likes_sum,CE_likes_num,CE_likes_std,CE_dislikes_std,CE_dislikes_sum,CE_dislikes_num,CE_dislikes_mean,CE_com_num,CE_com_std,CE_com_sum,CE_com_mean,CE_comid
0_18,99,178,3.241573033707865,15,0.6492601593528965,2,62,5.270833333333333,253.0,48.0,3.2729684836605832,0.8183944669571633,29.0,48.0,0.6041666666666666,48.0,31.30560301514482,2414.0,50.291666666666664,0
0_21,22,70,3.6857142857142855,0,0.4675826561931812,0,48,3.3636363636363638,37.0,11.0,2.6934263410283665,0.6741998624632419,4.0,11.0,0.36363636363636365,11.0,57.478849865130236,624.0,56.72727272727273,0
0_259,2,33,3.727272727272727,2,0.7190587281616531,1,28,5.529411764705882,94.0,17.0,4.017425280245165,0.562295714538387,4.0,17.0,0.23529411764705882,17.0,48.23967429896877,1475.0,86.76470588235294,0
0_26,6,6,3.0,0,0.0,0,0,1.5,6.0,4.0,1.9148542155126762,0.5,1.0,4.0,0.25,4.0,5.291502622129181,108.0,27.0,0
0_269,1,11,3.909090909090909,0,0.30151134457776363,0,10,4.5,9.0,2.0,0.7071067811865476,0.7071067811865476,1.0,2.0,0.5,2.0,41.012193308819754,162.0,81.0,0
0_271,4,10,3.6,0,0.5163977794943223,0,6,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,12.0,0
0_272,6,15,2.8,3,1.0141851056742202,2,4,4.4,22.0,5.0,5.176871642217914,0.0,0.0,5.0,0.0,5.0,4.219004621945797,62.0,12.4,0
0_38,112,290,2.2517241379310344,109,0.8164064602952882,59,10,3.7209302325581395,320.0,86.0,2.542121220744123,1.0072242471240087,68.0,86.0,0.7906976744186046,86.0,45.83534589122826,5509.0,64.05813953488372,0
0_40,2,7,2.142857142857143,4,0.6900655593423541,1,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,20.0,20.0,0
0_42,1,17,2.176470588235294,6,1.1850788010532811,6,4,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,9.0,0
0_60,20,25,3.04,2,0.454606056566195,0,3,6.0,12.0,2.0,7.0710678118654755,0.0,0.0,2.0,0.0,2.0,19.79898987322333,72.0,36.0,0
0_62,111,124,3.064516129032258,1,0.3548029450540688,1,11,4.5,9.0,2.0,3.5355339059327378,0.0,0.0,2.0,0.0,2.0,21.213203435596427,100.0,50.0,0
11_100,0,104,4.0,0,0.0,0,104,4.964285714285714,139.0,28.0,3.543195281696001,0.700528900717694,21.0,28.0,0.75,28.0,34.214697173079045,1200.0,42.857142857142854,11
11_101,7,221,2.8461538461538463,13,1.39930052456288,74,127,5.1,51.0,10.0,6.640783086353597,2.5144029554194818,9.0,10.0,0.9,10.0,68.73693815312598,521.0,52.1,11
11_102,5,164,3.6341463414634148,2,0.9400717257839578,17,140,11.25,135.0,12.0,8.324389139477717,4.092676385936225,39.0,12.0,3.25,12.0,131.12057832623398,1564.0,130.33333333333334,11
11_103,9,136,3.9191176470588234,1,0.2995094027788464,0,126,5.52,138.0,25.0,5.909878735360538,1.9765289440498117,34.0,25.0,1.36,25.0,91.78022662861538,2072.0,82.88,11
11_105,33,64,2.921875,18,0.6970388046860054,0,13,6.2,31.0,5.0,5.118593556827891,2.073644135332772,8.0,5.0,1.6,5.0,28.726294574831613,256.0,51.2,11
11_107,97,176,2.778409090909091,41,0.7795894690538988,12,26,8.166666666666666,98.0,12.0,5.573204290227127,0.90033663737852,11.0,12.0,0.9166666666666666,12.0,60.94010969547864,812.0,67.66666666666667,11
11_114,11,140,1.5357142857142858,41,0.7625281151624218,84,4,4.138613861386139,418.0,101.0,4.443038831633813,3.443029980343555,340.0,101.0,3.366336633663366,101.0,103.28043913980466,8891.0,88.02970297029702,11
11_116,6,95,3.873684210526316,3,0.4187647809562276,0,86,9.625,77.0,8.0,5.50162313711664,4.189698250300543,23.0,8.0,2.875,8.0,101.14054930781083,877.0,109.625,11
11_12,7,56,3.3214285714285716,5,1.0805241633265166,7,37,4.12,103.0,25.0,4.390520090680222,4.740956302969546,58.0,25.0,2.32,25.0,138.42145787413165,2295.0,91.8,11
11_124,53,183,2.2349726775956285,69,0.9225388251259489,44,17,3.7131147540983607,453.0,122.0,3.607795756154667,2.10018676468355,238.0,122.0,1.9508196721311475,122.0,49.162866068622264,5360.0,43.9344262295082,11
11_126,193,216,3.013888888888889,10,0.3267765991261206,0,13,3.5,7.0,2.0,3.5355339059327378,0.7071067811865476,1.0,2.0,0.5,2.0,45.96194077712559,83.0,41.5,11
11_13,24,60,2.6166666666666667,13,1.0099784637184799,11,12,6.685714285714286,234.0,35.0,4.247985187269432,3.6229891554030447,100.0,35.0,2.857142857142857,35.0,44.705704334010896,2324.0,66.4,11
11_135,41,102,2.196078431372549,31,0.8679007983449565,27,3,8.11111111111111,219.0,27.0,6.9632736185776505,3.364385281011721,71.0,27.0,2.6296296296296298,27.0,81.59955379465735,2217.0,82.11111111111111,11
11_137,24,54,2.0,6,0.951661902861773,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_139,6,165,3.727272727272727,6,0.7758837318891272,9,144,6.130434782608695,141.0,23.0,7.219319709993373,5.147239177097277,76.0,23.0,3.3043478260869565,23.0,28.765853164827135,914.0,39.73913043478261,11
11_140,99,100,2.99,1,0.09999999999999998,0,0,14.25,114.0,8.0,6.541078984824621,4.503966505838413,32.0,8.0,4.0,8.0,160.39950124610738,1752.0,219.0,11
11_152,1,280,3.9857142857142858,0,0.18877892043014452,1,278,9.258620689655173,537.0,58.0,6.3730802952803565,2.8824520716836797,132.0,58.0,2.2758620689655173,58.0,144.0645703268936,7159.0,123.43103448275862,11
11_159,71,79,3.0759493670886076,1,0.3110013561984685,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_163,16,220,3.9136363636363636,0,0.3265922772611512,1,203,6.132352941176471,417.0,68.0,4.478487257141554,3.6174632529306763,174.0,68.0,2.5588235294117645,68.0,47.65965037560069,4075.0,59.9264705882353,11
11_164,17,133,3.8721804511278197,0,0.3351511155001681,0,116,4.7894736842105265,91.0,19.0,4.008032869797866,0.837707816583391,8.0,19.0,0.42105263157894735,19.0,21.062285798102153,680.0,35.78947368421053,11
11_169,12,277,1.1588447653429603,17,0.49274015819298567,247,1,8.555555555555555,154.0,18.0,5.721190972497846,5.085221442983875,103.0,18.0,5.722222222222222,18.0,88.94876251495114,1998.0,111.0,11
11_170,171,195,3.071794871794872,2,0.38659811437126906,2,20,10.0,10.0,1.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,6.0,6.0,11
11_172,3,32,3.84375,1,0.447889315243931,0,28,4.75,19.0,4.0,2.8722813232690143,0.9574271077563381,3.0,4.0,0.75,4.0,29.4561821468205,174.0,43.5,11
11_18,47,147,2.8843537414965987,36,0.9897903943233685,15,49,5.218487394957983,621.0,119.0,4.923412871454704,2.996579733817405,225.0,119.0,1.8907563025210083,119.0,102.96641426642505,11499.0,96.63025210084034,11
11_183,60,94,3.1382978723404253,6,0.6656077153610174,3,25,8.357142857142858,117.0,14.0,8.55396572768033,0.7449463436684921,5.0,14.0,0.35714285714285715,14.0,33.555022879437296,639.0,45.642857142857146,11
11_184,64,79,2.911392405063291,8,0.5111543852718112,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_186,56,80,3.275,1,0.47667094506946567,0,23,4.842105263157895,92.0,19.0,3.095932060242509,2.2163665540145625,31.0,19.0,1.631578947368421,19.0,40.35065598718925,1030.0,54.21052631578947,11
11_19,29,87,2.7011494252873565,33,0.8907136220369737,6,19,7.232558139534884,622.0,86.0,5.5765779483682545,2.2700090696890594,172.0,86.0,2.0,86.0,151.36678756439596,16147.0,187.75581395348837,11
11_194,24,102,2.676470588235294,9,1.2599054239680876,31,38,9.461538461538462,123.0,13.0,7.6225037948540315,3.1985573671218135,35.0,13.0,2.6923076923076925,13.0,112.18471489650567,1533.0,117.92307692307692,11
11_196,4,281,2.7829181494661923,4,1.456215750201082,110,163,9.695652173913043,223.0,23.0,6.218994237661202,2.74617952368096,51.0,23.0,2.217391304347826,23.0,88.01729079141705,3014.0,131.04347826086956,11
11_209,37,234,3.606837606837607,11,0.7856793889816905,11,175,8.379310344827585,729.0,87.0,7.4945583038634105,1.5879289375196028,106.0,87.0,1.2183908045977012,87.0,98.39398815258465,8454.0,97.17241379310344,11
11_21,81,165,2.5090909090909093,18,1.0277739491082816,43,23,5.634146341463414,231.0,41.0,7.499186947799662,1.8740851426632723,70.0,41.0,1.7073170731707317,41.0,208.47758843110395,4939.0,120.46341463414635,11
