,CEG_interactions_degree,CEG_interactions_w_degree,CEG_interactions_degree_u,CEG_interactions_w_degree_u,CEG_interactions_betweenness_centrality,CEG_interactions_w_betweenness_centrality,CEG_interactions_betweenness_centrality_u,CEG_interactions_w_betweenness_centrality_u,CEG_interactions_NMF1_d,CEG_interactions_NMF1_u,CEG_interactions_NMF2_d,CEG_interactions_NMF2_u,CEG_rel_agree_degree,CEG_rel_agree_w_degree,CEG_rel_agree_degree_u,CEG_rel_agree_w_degree_u,CEG_rel_agree_betweenness_centrality,CEG_rel_agree_w_betweenness_centrality,CEG_rel_agree_betweenness_centrality_u,CEG_rel_agree_w_betweenness_centrality_u,CEG_rel_agree_NMF1_d,CEG_rel_agree_NMF1_u,CEG_rel_agree_NMF2_d,CEG_rel_agree_NMF2_u
0_18,0.9487179487179487,0.9762931034482759,1.0,0.9786476868327402,0.6033103779162405,0.3368792068664162,1.0,0.21337999693962428,7.500959938347617,0.16673371047895913,3.26411004394909,0.23610792496388908,0.9487179487179487,1.0,1.0,0.9934567348360451,0.6033103779162405,0.2720668013255949,1.0,0.1478698734302837,0.6304801970368518,0.07527871199343991,1.163087917537131,0.4234123186678319
0_21,0.46153846153846156,0.11637931034482758,0.6,0.1103202846975089,0.05388537527245214,0.47924853718247745,0.1476503673114465,0.5930734635503265,0.8539305215150498,0.7935410030619888,0.26956026502711034,0.5855739844946889,0.46153846153846156,0.498144874956145,0.6,0.6410256410256411,0.05388537527245214,0.051680489299043675,0.1476503673114465,0.0047772358966945445,0.8009887692549568,0.9441183702100948,0.3070033660916892,0.25355346241178345
0_25,0.6666666666666666,0.42887931034482757,0.85,0.35587188612099646,0.17236648513836064,0.3404154343887999,0.541615061761328,0.5923699190710136,3.710753353876695,2.12783745090135,1.348997831254052,0.9921224345734339,0.6666666666666666,0.6789542382172559,0.85,0.834845496383958,0.17236648513836064,0.07522037893120828,0.541615061761328,0.05538142815138714,0.6998120594775622,0.8509191643483207,0.752364776057015,0.5713655443261364
0_259,0.6410256410256411,0.2607758620689655,0.85,0.2918149466192171,0.2491108709029264,0.47673671599636547,0.6667625146586802,1.0,0.0,0.0,3.1123903307158822,3.2724765816640504,0.6410256410256411,0.6183743478115356,0.85,0.8083028083028083,0.2491108709029264,0.26306220307583295,0.6667625146586802,0.311410806014239,0.12472306978281475,0.26640454653201784,1.1904047872494314,1.2290702936017832
0_26,0.07692307692307693,0.015086206896551725,0.15,0.017793594306049824,0.0024592554949988037,0.0,0.0,0.008688731576837225,0.0,0.1742314487795099,0.2896317111176339,0.21957794716643203,0.07692307692307693,0.0858870474062319,0.15,0.15384615384615385,0.0024592554949988037,0.0,0.0,0.0,0.041544890037399126,0.0,0.22777284682656973,0.637975187770369
0_268,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.16377284489280566,0.0,0.17736267962550012,0.0,0.14157909436755167,0.0,0.01431450790103865,0.05,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.16612713142465263,0.0,0.4709210789814276
0_269,0.10256410256410256,0.02586206896551724,0.2,0.03558718861209965,0.0019674043959990433,0.03576740767320859,0.020006824838949392,0.07428506459700918,0.0,0.01710594786172519,0.2429273619519455,0.587464989662038,0.10256410256410256,0.1145160632083092,0.2,0.23076923076923078,0.0019674043959990433,0.0,0.020006824838949392,0.0,0.0,0.0,0.42608659116072545,0.72882570955502
0_27,0.48717948717948717,0.20474137931034483,0.6,0.20284697508896798,0.03595232805971483,0.23280068062251497,0.10163640237448966,0.039097582388648904,0.4105939225818432,0.46635344724971844,0.28897036936704024,2.4723071862128356,0.48717948717948717,0.47851354983472066,0.6,0.5641025641025641,0.03595232805971483,0.02682927429334815,0.10163640237448966,0.029892771796020942,0.7719842663106379,0.9326602616533569,0.0,0.14530846863335517
0_271,0.0,0.00646551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.992233881965366,0.3686571891579688,0.5396697642067922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10781883747082376,0.679077753435917,0.0,0.9475246107586378
0_272,0.2564102564102564,0.0668103448275862,0.35,0.08540925266903915,0.03679124292121226,0.23017889491443028,0.07408241426079547,0.02382818811223544,0.006753210720065504,0.31595424115316373,0.6460143999660746,0.47110990021012383,0.2564102564102564,0.286290158020773,0.35,0.38461538461538464,0.03679124292121226,0.006716544596133925,0.07408241426079547,0.0009121761260069964,0.24312951194019386,0.6333525605569389,0.3250731072835686,0.3828890954451348
