,CEG_interactions_degree,CEG_interactions_w_degree,CEG_interactions_degree_u,CEG_interactions_w_degree_u,CEG_interactions_betweenness_centrality,CEG_interactions_w_betweenness_centrality,CEG_interactions_betweenness_centrality_u,CEG_interactions_w_betweenness_centrality_u,CEG_interactions_NMF1_d,CEG_interactions_NMF1_u,CEG_interactions_NMF2_d,CEG_interactions_NMF2_u,CEG_rel_agree_degree,CEG_rel_agree_w_degree,CEG_rel_agree_degree_u,CEG_rel_agree_w_degree_u,CEG_rel_agree_betweenness_centrality,CEG_rel_agree_w_betweenness_centrality,CEG_rel_agree_betweenness_centrality_u,CEG_rel_agree_w_betweenness_centrality_u,CEG_rel_agree_NMF1_d,CEG_rel_agree_NMF1_u,CEG_rel_agree_NMF2_d,CEG_rel_agree_NMF2_u
0_18,1.0,0.9278846153846154,0.8888888888888888,0.9520958083832335,1.0,1.0,0.5,0.9230769230769231,7.19343423715262,0.07202066912041596,2.5750666543142877,0.007668229304102752,1.0,1.0,0.8888888888888888,1.0,1.0,0.736842105263158,0.5,0.375,1.2124478719464622,0.0,0.8230377113070015,0.0
0_20,0.16666666666666666,0.02403846153846154,0.1111111111111111,0.011976047904191617,0.0,0.16666666666666666,0.0,0.0,0.09572462670978303,0.22375922838270018,0.0,0.0,0.16666666666666666,0.24262867264013335,0.1111111111111111,0.23092369477911648,0.0,0.0,0.0,0.0,0.0,0.0,0.5176384948666732,1.0348428599280202
0_259,0.5833333333333334,0.3317307692307692,0.4444444444444444,0.31137724550898205,0.303030303030303,0.23809523809523805,0.0,0.0,0.0,0.6068333081163642,3.665718217504824,3.8462722450406246,0.5833333333333334,0.5015362775898825,0.4444444444444444,0.4406793842034806,0.303030303030303,0.6315789473684211,0.0,0.5555555555555556,0.2844889002587754,0.15846157988808307,0.6947270171297305,0.8795615951626162
0_269,0.4166666666666667,0.028846153846153848,0.4444444444444444,0.023952095808383235,0.0,0.3333333333333333,0.0,1.0,0.0,0.07878758604533881,0.22751108067156037,0.2646161437309646,0.4166666666666667,0.40438112106688895,0.4444444444444444,0.46184738955823296,0.0,0.0,0.0,0.0,0.6550513264030383,0.1744558766239605,0.0,0.9684013335600846
0_271,0.08333333333333333,0.009615384615384616,0.1111111111111111,0.011976047904191617,0.0,0.23809523809523805,0.0,0.0,0.06909631567539412,0.22375922838270018,0.25492691267643336,0.0,0.08333333333333333,0.16175244842675557,0.1111111111111111,0.23092369477911648,0.0,0.0,0.0,0.0,0.0,0.0,0.4348151028742231,1.0348428599280202
0_272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03454815783769706,6.60331394761466,0.12746345633821668,1.5778174809481031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3480552870828773,0.0,0.0
0_31,0.08333333333333333,0.02403846153846154,0.1111111111111111,0.029940119760479042,0.0,0.0,0.0,0.0,0.5549021508488169,0.4502334139492612,0.0,0.0,0.08333333333333333,0.16175244842675557,0.1111111111111111,0.23092369477911648,0.0,0.0,0.0,0.0,0.0,0.0,0.9524535977408962,1.0348428599280202
0_38,1.0,1.0,1.0,1.0,1.0,0.8095238095238094,1.0,1.0,4.539561201164947,6.523413420508208,5.030866690106909,2.060752619669604,1.0,0.8582739401348276,1.0,0.9841819998670807,1.0,1.0,1.0,1.0,1.0939605653112636,1.3264676338837942,0.7669738569798368,0.0045695151528724965
0_62,0.25,0.0625,0.1111111111111111,0.059880239520958084,0.0,0.16666666666666666,0.0,0.0,0.5685393106736184,0.8161014682023291,0.9451049475064386,0.010012852112061746,0.25,0.31451864971869137,0.1111111111111111,0.2180946006247211,0.0,0.0,0.0,0.0,0.0,0.0,0.9041408085326492,0.9778179587436843
3_19,0.0,0.0,,0.21428571428571427,0.0,0.0,,0.0,0.030027160413230492,0.37826214173440204,0.7653381926417014,0.6435419992122172,0.0,0.5194805194805195,,1.0,0.0,0.0,,0.0,0.0,0.823696102932348,1.8420976418599446,0.7715907708794458
