,CEG_interactions_degree,CEG_interactions_w_degree,CEG_interactions_degree_u,CEG_interactions_w_degree_u,CEG_interactions_betweenness_centrality,CEG_interactions_w_betweenness_centrality,CEG_interactions_betweenness_centrality_u,CEG_interactions_w_betweenness_centrality_u,CEG_interactions_NMF1_d,CEG_interactions_NMF1_u,CEG_interactions_NMF2_d,CEG_interactions_NMF2_u,CEG_rel_agree_degree,CEG_rel_agree_w_degree,CEG_rel_agree_degree_u,CEG_rel_agree_w_degree_u,CEG_rel_agree_betweenness_centrality,CEG_rel_agree_w_betweenness_centrality,CEG_rel_agree_betweenness_centrality_u,CEG_rel_agree_w_betweenness_centrality_u,CEG_rel_agree_NMF1_d,CEG_rel_agree_NMF1_u,CEG_rel_agree_NMF2_d,CEG_rel_agree_NMF2_u
0_18,0.95,0.8914285714285715,1.0,0.8055555555555556,0.8335315101070153,0.6762589928057553,1.0,0.9878345498783454,7.1311152536686855,0.2881345599166894,2.9325374073733075,0.3264417421264483,0.95,1.0,1.0,1.0,0.8335315101070153,0.6699029126213593,1.0,0.22137790852251774,0.9280544034496953,0.578373855816525,0.9223994233688466,0.0
0_25,0.7,0.44571428571428573,0.8181818181818182,0.4603174603174603,0.17954815695600473,0.29496402877697836,0.19670442842430486,0.0389294403892944,4.055333693206293,3.605619198311762,0.9468507815620821,0.6968291589463665,0.7,0.7544947467643012,0.8181818181818182,0.8270262467823033,0.17954815695600473,0.02912621359223301,0.19670442842430486,0.02161290599243548,0.88616835741187,0.5902888767922784,0.9898485877599026,0.8064096523013083
0_259,0.65,0.32857142857142857,0.8181818181818182,0.29365079365079366,0.16765755053507725,0.5755395683453237,0.22039134912461383,1.0,0.0,0.0,4.128169181182808,4.237333853925665,0.65,0.588058392016464,0.8181818181818182,0.6166515009785759,0.16765755053507725,0.46601941747572817,0.22039134912461383,1.0,1.0345607766450338,1.0763091894241283,0.0,0.0
0_271,0.1,0.011428571428571429,0.09090909090909091,0.007936507936507936,0.0,0.18705035971223016,0.0,0.20072992700729927,0.0665093120246345,0.2199919580198304,0.3246108202996452,0.2823823034921557,0.1,0.0907973271462753,0.09090909090909091,0.10104169172661004,0.0,0.0,0.0,0.0,0.016926692389806222,0.620977408559255,0.2790521318561482,0.036211219567790984
0_272,0.45,0.11142857142857143,0.45454545454545453,0.07936507936507936,0.030915576694411414,0.28776978417266186,0.01235839340885685,0.21289537712895373,0.04145904405738271,0.2495098499213664,1.166678072757043,1.0539476603740487,0.45,0.43380945192109305,0.45454545454545453,0.3704862029975701,0.030915576694411414,0.043689320388349516,0.01235839340885685,0.021072583342624594,0.6784112733447109,0.8180663454320446,0.197953381923191,0.075255966047418
0_277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017397658196303312,0.06493697785913397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03339714531480974,0.18417568634004336,0.008433494512628871,0.03276644046564441
0_278,0.4,0.05142857142857143,0.45454545454545453,0.03571428571428571,0.008917954815695598,0.3669064748201438,0.01235839340885685,0.5304136253041362,0.0,6.868940497450738,1.0350084425700186,0.9078799513179809,0.4,0.27037426305779755,0.45454545454545453,0.20208338345322008,0.008917954815695598,0.2621359223300971,0.01235839340885685,0.6348190776778133,0.6149446995945682,0.7345538925755364,0.0,0.7613084274439117
0_28,0.35,0.07428571428571429,0.36363636363636365,0.05555555555555555,0.0,0.17985611510791366,0.0,0.7445255474452553,0.24499816237783698,0.20904986403112888,0.16561737610121335,0.44140286421318303,0.35,0.3833664923953845,0.36363636363636365,0.3704862029975701,0.0,0.0,0.0,0.0,0.47293937637183686,0.7944131116637431,0.7081522795883127,0.09831555244806023
0_31,0.1,0.02857142857142857,0.18181818181818182,0.03968253968253968,0.0,0.0,0.0,0.218978102189781,0.6698999465452462,0.5750406529242934,0.0,0.0,0.1,0.1210631028617004,0.18181818181818182,0.20208338345322008,0.0,0.0,0.0,0.0,0.0,0.23019609909350192,1.273065626638202,0.6351525517866287
0_38,1.0,1.0,0.9090909090909091,1.0,1.0,0.8633093525179856,0.32028836251287335,0.2579075425790754,4.518998635848785,6.258883537527732,5.491923338774993,4.262390164759924,1.0,0.9736416625469598,0.9090909090909091,0.804192325044837,1.0,1.0,0.32028836251287335,0.007950461847217339,0.9249977543463289,0.40631839264040737,0.866790231547311,0.9520331183483444
