,E_votes_2,E_votes_num,E_votes_3,E_votes_1,E_votes_mean,E_votes_4,E_votes_std,E_likes_num,E_likes_mean,E_likes_std,E_likes_sum,E_dislikes_num,E_dislikes_std,E_dislikes_sum,E_dislikes_mean,E_com_std,E_com_num,E_com_mean,E_com_sum,E_companyAlias,E_employee,E_first_date,E_lastParticipationDate,E_stillExists,E_churn,E_comp_short,E_uid
0,15,183,102,2,3.2459016393442623,64,0.6459273350309269,49.0,5.326530612244898,3.2620785494198374,261.0,49.0,0.8144110179279554,29.0,0.5918367346938775,31.002756625296186,49,50.46938775510204,2473,5370af43e4b0cff95558c12a,18,2016-02-22 00:00:00,2017-03-12 00:00:00,True,0,0,0_18
1,0,71,22,0,3.6901408450704225,49,0.46572675299010263,12.0,3.4166666666666665,2.5746432527221863,41.0,12.0,0.6513389472789295,4.0,0.3333333333333333,56.304367665233734,12,53.0,636,5370af43e4b0cff95558c12a,21,2016-02-22 00:00:00,2016-12-27 00:00:00,True,0,0,0_21
2,11,91,24,5,3.32967032967033,51,0.8951094911914416,23.0,4.695652173913044,2.851391727316451,108.0,23.0,1.3292096971404967,16.0,0.6956521739130435,17.189041796875614,20,26.1,522,5370af43e4b0cff95558c12a,25,2016-02-23 00:00:00,2017-03-20 00:00:00,True,0,0,0_25
3,0,8,7,0,3.125,1,0.3535533905932738,5.0,2.2,2.2803508501982757,11.0,5.0,0.44721359549995804,1.0,0.2,10.04987562112089,5,31.0,155,5370af43e4b0cff95558c12a,26,2016-03-18 00:00:00,2017-03-06 00:00:00,True,0,0,0_26
4,15,60,33,4,2.75,8,0.7729538324626148,27.0,3.814814814814815,2.974727357087175,103.0,27.0,1.6717870064310811,30.0,1.1111111111111112,43.11308260537504,27,55.25925925925926,1492,5370af43e4b0cff95558c12a,27,2016-02-22 00:00:00,2017-03-06 00:00:00,True,0,0,0_27
5,2,10,5,0,3.1,3,0.7378647873726218,8.0,5.75,2.9154759474226504,46.0,8.0,0.7440238091428449,3.0,0.375,68.10797624780396,8,64.125,513,5370af43e4b0cff95558c12a,28,2016-02-23 00:00:00,2017-01-30 16:02:25,True,0,0,0_28
6,4,39,26,0,3.128205128205128,9,0.5702948073947632,5.0,5.0,1.4142135623730951,25.0,5.0,1.0954451150103324,4.0,0.8,56.43580423808985,5,91.0,455,5370af43e4b0cff95558c12a,32,2016-02-25 00:00:00,2017-01-25 00:00:00,True,0,0,0_32
7,114,297,112,61,2.239057239057239,10,0.8137893844559299,87.0,3.8045977011494254,2.6450439854775447,331.0,87.0,1.004933034403483,68.0,0.7816091954022989,48.428448475652075,87,65.816091954023,5726,5370af43e4b0cff95558c12a,38,2016-02-22 00:00:00,2017-03-20 07:57:56,True,0,0,0_38
8,16,66,34,5,2.772727272727273,11,0.8189196362460546,24.0,3.125,2.576018160886563,75.0,24.0,2.063748524170155,35.0,1.4583333333333333,25.927854195602187,24,34.416666666666664,826,5370af43e4b0cff95558c12a,39,2016-02-22 00:00:00,2017-03-17 00:00:00,True,0,0,0_39
9,5,9,3,1,2.2222222222222223,0,0.6666666666666667,2.0,2.0,1.4142135623730951,4.0,2.0,1.4142135623730951,2.0,1.0,37.476659402887016,2,46.5,93,5370af43e4b0cff95558c12a,40,2016-03-17 00:00:00,2017-03-11 00:00:00,True,0,0,0_40
10,2,17,9,0,3.235294117647059,6,0.6642111641550714,8.0,3.75,2.49284690951645,30.0,8.0,1.0606601717798212,5.0,0.625,32.41141774128371,8,50.25,402,5370af43e4b0cff95558c12a,43,2016-02-23 00:00:00,2017-02-09 00:00:00,True,0,0,0_43
