,E_votes_3,E_votes_num,E_votes_mean,E_votes_2,E_votes_std,E_votes_1,E_votes_4,E_likes_mean,E_likes_sum,E_likes_num,E_likes_std,E_dislikes_std,E_dislikes_sum,E_dislikes_num,E_dislikes_mean,E_com_num,E_com_std,E_com_sum,E_com_mean,E_uid,E_target,E_comid
0,93,168,3.232142857142857,15,0.6563664658965022,2,58,5.355555555555555,241.0,45.0,3.317690568312648,0.8299933065325822,29.0,45.0,0.6444444444444445,45.0,31.872346393801394,2318.0,51.51111111111111,0_18,1,0
1,9,36,3.5277777777777777,4,0.6963624307217002,0,23,3.0,6.0,2.0,0.0,0.7071067811865476,1.0,2.0,0.5,1.0,,30.0,30.0,0_20,1,0
2,2,18,3.5,2,0.9235481451827989,1,13,4.8,48.0,10.0,4.685675570881488,0.31622776601683794,1.0,10.0,0.1,10.0,50.57052281495395,866.0,86.6,0_259,1,0
3,30,56,2.767857142857143,15,0.7625572152261797,3,8,3.8076923076923075,99.0,26.0,3.0334037748935536,1.7047445105216927,29.0,26.0,1.1153846153846154,26.0,43.375640097249914,1472.0,56.61538461538461,0_27,1,0
4,36,201,3.4776119402985075,24,0.8371058885569478,7,134,,,,,,,,,,,,,0_31,1,0
5,24,35,3.085714285714286,4,0.5621088742891558,0,7,5.666666666666667,17.0,3.0,1.5275252316519465,0.0,0.0,3.0,0.0,3.0,64.76367294504948,317.0,105.66666666666667,0_32,1,0
6,0,75,3.973333333333333,1,0.2309401076758506,0,74,4.133333333333334,62.0,15.0,2.8250579429371676,2.0862360730226466,31.0,15.0,2.066666666666667,14.0,35.778009084714796,662.0,47.285714285714285,0_33,0,0
7,12,57,3.754385964912281,1,0.47361458691889563,0,44,4.529411764705882,77.0,17.0,2.917996895535179,0.4372373160976031,4.0,17.0,0.23529411764705882,17.0,15.6475425621819,454.0,26.705882352941178,0_37,1,0
8,103,258,2.298449612403101,102,0.7890776269431676,44,9,3.8378378378378377,284.0,74.0,2.627708137433644,0.801239321428765,48.0,74.0,0.6486486486486487,74.0,43.71358430505626,4452.0,60.16216216216216,0_38,1,0
9,26,56,2.732142857142857,15,0.8632090535495274,5,10,3.0869565217391304,71.0,23.0,2.62701080522159,2.086091718052321,35.0,23.0,1.5217391304347827,23.0,26.29710154003887,807.0,35.08695652173913,0_39,1,0
10,140,195,3.123076923076923,5,0.613617605856683,7,43,0.2857142857142857,2.0,7.0,0.48795003647426666,1.3972762620115435,10.0,7.0,1.4285714285714286,5.0,0.0,5.0,1.0,0_51,1,0
11,3,49,3.938775510204082,0,0.24222607082590236,0,46,6.846153846153846,89.0,13.0,4.317525407108294,0.48038446141526137,4.0,13.0,0.3076923076923077,13.0,74.39378937408617,1411.0,108.53846153846153,0_52,1,0
12,33,246,1.8943089430894309,22,1.2007685166988722,147,44,3.6,306.0,85.0,2.8250579429371667,1.7293803232721843,109.0,85.0,1.2823529411764707,80.0,238.39085951171492,10242.0,128.025,0_55,1,0
13,2,38,3.736842105263158,1,0.7599505861004167,2,33,3.076923076923077,40.0,13.0,2.139374459257443,1.6525039276108338,17.0,13.0,1.3076923076923077,13.0,78.87737968290419,678.0,52.15384615384615,0_56,1,0
14,47,77,3.064935064935065,8,0.7133623560233008,3,19,2.4,12.0,5.0,1.816590212458495,1.0,5.0,5.0,1.0,4.0,14.773286702694158,103.0,25.75,0_57,1,0
15,97,109,3.091743119266055,1,0.32033791197068157,0,11,4.5,9.0,2.0,3.5355339059327378,0.0,0.0,2.0,0.0,2.0,21.213203435596427,100.0,50.0,0_62,1,0
16,36,46,3.0652173913043477,2,0.5334239053528936,1,7,5.375,43.0,8.0,2.5035688811888406,0.4629100498862757,2.0,8.0,0.25,8.0,19.827830369025683,360.0,45.0,0_63,1,0
17,7,46,3.760869565217391,2,0.5242892589526703,0,37,1.8888888888888888,34.0,18.0,2.654383475307765,0.32338083338177737,2.0,18.0,0.1111111111111111,18.0,21.976294417846454,745.0,41.388888888888886,0_64,1,0
18,10,35,3.5428571428571427,3,0.6572159257878982,0,22,2.6666666666666665,8.0,3.0,2.5166114784235836,4.932882862316247,10.0,3.0,3.3333333333333335,3.0,11.67618659209133,259.0,86.33333333333333,11_10,1,11
19,0,69,4.0,0,0.0,0,69,4.125,99.0,24.0,2.691573000568869,0.701964118163034,20.0,24.0,0.8333333333333334,24.0,34.97739953542672,963.0,40.125,11_100,1,11
