,G_interactions_degree,G_interactions_w_degree,G_interactions_degree_u,G_interactions_w_degree_u,G_interactions_betweenness_centrality,G_interactions_w_betweenness_centrality,G_interactions_betweenness_centrality_u,G_interactions_w_betweenness_centrality_u,G_interactions_NMF1_d,G_interactions_NMF1_u,G_interactions_NMF2_d,G_interactions_NMF2_u,G_rel_agree_degree,G_rel_agree_w_degree,G_rel_agree_degree_u,G_rel_agree_w_degree_u,G_rel_agree_betweenness_centrality,G_rel_agree_w_betweenness_centrality,G_rel_agree_betweenness_centrality_u,G_rel_agree_w_betweenness_centrality_u,G_rel_agree_NMF1_d,G_rel_agree_NMF1_u,G_rel_agree_NMF2_d,G_rel_agree_NMF2_u
0_25,0.08095238095238096,0.05298481102084069,0.08461538461538462,0.06679151061173533,0.00505647932616791,0.010556138579420192,0.007112642611466841,0.006651716154378514,0.0,0.0,0.0,0.0,0.08095238095238096,0.09011206740521581,0.08461538461538462,0.09837351201721738,0.00505647932616791,1.389244493277692e-07,0.007112642611466841,1.972911768808375e-19,0.0,0.0,0.0,0.0
0_259,0.09047619047619047,0.056870363829035674,0.08461538461538462,0.06367041198501873,0.008130649147108569,0.03111547514600523,0.007112642611466841,0.0017647410205494014,0.0,0.0,0.0,0.0,0.09047619047619047,0.09040196166321557,0.08461538461538462,0.08504285672849396,0.008130649147108569,3.9896252114641405e-07,0.007112642611466841,7.842933204398726e-19,0.0,0.0,0.0,0.7748936709251116
0_271,0.023809523809523808,0.004945249028611798,0.023076923076923078,0.003745318352059925,0.0,0.002262029695590041,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.024469679295789987,0.023076923076923078,0.021584481403171055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_277,0.06190476190476191,0.012363122571529495,0.06153846153846154,0.016853932584269662,0.0007420409912615381,0.02825023753159118,0.00034277795717912497,0.01072419543256944,0.0,0.0,0.0,0.0,0.06190476190476191,0.07340903788736997,0.06153846153846154,0.07400393623944362,0.0007420409912615381,7.124330734757394e-09,0.00034277795717912497,0.0,0.0,0.0,0.0,0.0
0_278,0.06666666666666667,0.02401978099611445,0.06923076923076923,0.026841448189762796,0.000816245090387692,0.002060960389315371,0.0011140283608321562,0.001221743783457278,0.0,0.0,0.0,0.0,0.06666666666666667,0.07359726618964528,0.06923076923076923,0.08017093092606394,0.000816245090387692,0.0,0.0011140283608321562,0.0,0.0,0.0,0.0,0.0
0_31,0.014285714285714285,0.00282585658777817,0.023076923076923078,0.004993757802746567,0.0,0.0,0.0,0.0013574930927303087,0.0,0.0,0.0,0.0,0.014285714285714285,0.016940547204777685,0.023076923076923078,0.02775147608979136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_38,0.09523809523809523,0.11197456729071,0.09230769230769231,0.1466916354556804,0.010568783832682196,0.009802128680890176,0.011968663671504448,0.019004903298224324,0.0,0.0,0.0,0.0,0.09523809523809523,0.09723655758509739,0.09230769230769231,0.09628233128829625,0.010568783832682196,4.95140986065639e-07,0.011968663671504448,9.279992394024578e-19,0.0,0.0,0.0,0.0
0_39,0.06666666666666667,0.0381490639350053,0.07692307692307693,0.05118601747815231,0.001908105406101098,0.02377644546697976,0.006284262548283955,0.0451592702181616,0.0,0.0,0.0,0.0,0.06666666666666667,0.06913303265826216,0.07692307692307693,0.08822781108116463,0.001908105406101098,4.452706709223371e-08,0.006284262548283955,6.332803208520709e-20,0.0,0.0,0.0,0.0
0_54,0.04285714285714286,0.006358177322500883,0.046153846153846156,0.00686641697877653,0.00012720702707340656,0.02262029695590041,0.00034277795717912497,0.04511402044840392,0.0,0.0,0.0,0.0,0.04285714285714286,0.04799821708020344,0.046153846153846156,0.05087770616461749,0.00012720702707340656,0.0,0.00034277795717912497,0.0,0.0,0.0,0.0,0.19146309217656993
0_57,0.0380952380952381,0.007417873542917697,0.046153846153846156,0.0056179775280898875,0.0,0.0037700494926500685,0.0,0.009366702339839132,0.0,0.0,0.0,0.0,0.0380952380952381,0.04517479254607382,0.046153846153846156,0.05550295217958272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
