,G_interactions_degree,G_interactions_w_degree,G_interactions_degree_u,G_interactions_w_degree_u,G_interactions_betweenness_centrality,G_interactions_w_betweenness_centrality,G_interactions_betweenness_centrality_u,G_interactions_w_betweenness_centrality_u,G_interactions_NMF1_d,G_interactions_NMF1_u,G_interactions_NMF2_d,G_interactions_NMF2_u,G_rel_agree_degree,G_rel_agree_w_degree,G_rel_agree_degree_u,G_rel_agree_w_degree_u,G_rel_agree_betweenness_centrality,G_rel_agree_w_betweenness_centrality,G_rel_agree_betweenness_centrality_u,G_rel_agree_w_betweenness_centrality_u,G_rel_agree_NMF1_d,G_rel_agree_NMF1_u,G_rel_agree_NMF2_d,G_rel_agree_NMF2_u
0_18,0.06435643564356436,0.04993564993564994,0.0743801652892562,0.06809583858764187,0.01422326570758579,0.04246321777428667,0.01704861371293537,0.03044893807009919,0.0,0.0,0.0,0.0,0.06435643564356436,0.06799794063570606,0.0743801652892562,0.07999680627832063,0.01422326570758579,1.4023059917992615e-06,0.01704861371293537,8.832865305516974e-18,0.0,0.0,0.0,0.0
0_20,0.01485148514851485,0.0015444015444015444,0.01652892561983471,0.002101723413198823,0.0,0.007077202962381111,0.0,0.0,0.0,0.0,0.0,0.0,0.01485148514851485,0.01649825007870395,0.01652892561983471,0.018473158076319024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_259,0.039603960396039604,0.018018018018018018,0.04132231404958678,0.022278268179907523,0.00431008051745024,0.010110289946258733,0.0,0.0,0.0,0.0,0.0,0.0,0.039603960396039604,0.03410343403020983,0.04132231404958678,0.03525294332897547,0.00431008051745024,1.2019765643993671e-06,0.0,1.3085726378543667e-17,0.0,0.0,0.0,0.0
0_269,0.0297029702970297,0.0018018018018018018,0.04132231404958678,0.002101723413198823,0.0,0.014154405924762222,0.0,0.04166696788539889,0.0,0.0,0.0,0.0,0.0297029702970297,0.027497083464506578,0.04132231404958678,0.03694631615263805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_271,0.009900990099009901,0.0007722007722007722,0.01652892561983471,0.0012610340479192938,0.0,0.010110289946258733,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.010998833385802632,0.01652892561983471,0.018473158076319024,0.0,0.0,0.0,0.0,0.0,0.9934689186076349,0.0,0.0
0_272,0.0049504950495049506,0.0002574002574002574,0.008264462809917356,0.0004203446826397646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_31,0.009900990099009901,0.0015444015444015444,0.01652892561983471,0.0025220680958385876,0.0,0.0,0.0,0.0,0.0,0.05211453062647521,0.0,0.0,0.009900990099009901,0.010998833385802632,0.01652892561983471,0.018473158076319024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_38,0.06435643564356436,0.0537966537966538,0.08264462809917356,0.07061790668348046,0.01422326570758579,0.034374985817279685,0.03409722742587074,0.04967984632489867,0.0,0.0,0.0,0.0,0.06435643564356436,0.058360860430461535,0.08264462809917356,0.07873141678597703,0.01422326570758579,1.903129560298998e-06,0.03409722742587074,2.35543074813786e-17,0.0,0.0,0.0,0.0
0_62,0.019801980198019802,0.0036036036036036037,0.01652892561983471,0.004623791509037411,0.0,0.007077202962381111,0.0,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.021386620472394004,0.01652892561983471,0.01744687151652352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_10,0.10396039603960396,0.0066924066924066924,0.1487603305785124,0.009247583018074821,0.0010177872688002679,0.05198694943794839,0.0026084089496807073,0.04517812844851946,0.0,0.0,0.0,0.0,0.10396039603960396,0.0659930003148158,0.1487603305785124,0.10160236941975463,0.0010177872688002679,0.007503892673488951,0.0026084089496807073,4.2866687195086425e-05,0.0,0.11145304598448807,0.0,0.0
11_100,0.4158415841584158,0.06615186615186615,0.5454545454545454,0.08112652374947457,0.0698734137606311,0.30472779768417096,0.14046691400801928,0.288581510411467,0.0,0.0,0.0,0.0,0.4158415841584158,0.4255173666132393,0.5454545454545454,0.5622767489479603,0.0698734137606311,0.034774921232836396,0.14046691400801928,1.0162067342380246e-09,0.0,0.7176463208867664,0.0,0.0
11_101,0.5198019801980198,0.16447876447876447,0.768595041322314,0.24632198402690206,0.046389015635194666,0.2151974185854256,0.31332724048054134,0.12939204312254315,0.0,0.0,0.0,0.0,0.5198019801980198,0.42232389959537003,0.768595041322314,0.6272720829127747,0.046389015635194666,2.451897310304076e-05,0.31332724048054134,3.1552262864898715e-06,0.0,0.0,0.0,0.0
11_102,0.6287128712871287,0.07335907335907337,0.7024793388429752,0.0748213535098781,0.2544867166094941,0.964073154443138,0.4923909377051105,0.8451234937502806,0.0,0.0,0.0,0.0,0.6287128712871287,0.5039560706580616,0.7024793388429752,0.5730417618983866,0.2544867166094941,0.13516675719654905,0.4923909377051105,0.7806692534005635,0.0,0.33343638943927123,0.0,0.0
11_103,0.5396039603960396,0.06563706563706563,0.6446280991735537,0.07103825136612021,0.12799195240083408,0.7186811323344308,0.1342605420576062,0.4065155970086997,0.0,0.0,0.0,0.0,0.5396039603960396,0.4677886766693895,0.6446280991735537,0.5712567563461709,0.12799195240083408,0.003854407819012153,0.1342605420576062,1.0963232574676113e-06,0.0,0.0,0.0,0.0
11_107,0.27722772277227725,0.02882882882882883,0.35537190082644626,0.03362757461118117,0.021732857383548982,0.15917247725327402,0.05600520263215853,0.1728529665265416,0.0,0.0,0.0,0.0,0.27722772277227725,0.2537064234325141,0.35537190082644626,0.3106569416500983,0.021732857383548982,6.0315194980096136e-05,0.05600520263215853,4.392229601843559e-06,0.0,0.0,0.0,0.0
11_114,0.7722772277227723,0.25868725868725867,0.8512396694214877,0.24379991593106348,0.3249846625586813,0.43729948464920754,0.43413587406208737,0.35453084770039245,0.0,0.7968402680432856,0.0,0.0,0.7722772277227723,0.4577826986653118,0.8512396694214877,0.4722242469925642,0.3249846625586813,0.5981595741614869,0.43413587406208737,1.0,0.0,0.0,0.0,0.0
