,G_interactions_degree,G_interactions_w_degree,G_interactions_degree_u,G_interactions_w_degree_u,G_interactions_betweenness_centrality,G_interactions_w_betweenness_centrality,G_interactions_betweenness_centrality_u,G_interactions_w_betweenness_centrality_u,G_interactions_NMF1_d,G_interactions_NMF1_u,G_interactions_NMF2_d,G_interactions_NMF2_u,G_rel_agree_degree,G_rel_agree_w_degree,G_rel_agree_degree_u,G_rel_agree_w_degree_u,G_rel_agree_betweenness_centrality,G_rel_agree_w_betweenness_centrality,G_rel_agree_betweenness_centrality_u,G_rel_agree_w_betweenness_centrality_u,G_rel_agree_NMF1_d,G_rel_agree_NMF1_u,G_rel_agree_NMF2_d,G_rel_agree_NMF2_u
0_18,0.10945273631840796,0.0866120218579235,0.11570247933884298,0.10441240716470074,0.01947532797203937,0.03278964513554389,0.03857949346304068,0.054655810490777945,0.0,8.261824453108584,0.0,0.0,0.10945273631840796,0.11189084342992602,0.11570247933884298,0.12234938034763729,0.01947532797203937,6.106528264943022e-07,0.03857949346304068,1.801860613933778e-16,0.0,0.0,0.0,0.0
0_25,0.0845771144278607,0.043989071038251365,0.09917355371900827,0.05286151157710791,0.004195113443335156,0.014301866495290418,0.007588757210546623,0.001951993231813498,0.0,0.0,0.0,0.0,0.0845771144278607,0.08864277798614084,0.09917355371900827,0.10744410785363462,0.004195113443335156,2.6550122891056617e-08,0.007588757210546623,2.343883725442313e-17,0.0,0.0,0.0,0.0
0_259,0.07960199004975124,0.03278688524590164,0.09917355371900827,0.04062909567496723,0.003917291360995079,0.02790608096642033,0.008502586612863754,0.051012089791392747,0.0,0.0,0.0,0.0,0.07960199004975124,0.07288212432840428,0.09917355371900827,0.08993187880401382,0.003917291360995079,4.2480196625690586e-07,0.008502586612863754,6.225941145706144e-16,0.0,0.4509470814994631,0.0,0.0
0_271,0.024875621890547265,0.002459016393442623,0.03305785123966942,0.002621231979030144,0.0,0.009069476314086606,0.0,0.05322434878744804,0.0,0.0,0.0,0.0,0.024875621890547265,0.025794098201118724,0.03305785123966942,0.03362131224744937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_272,0.05970149253731343,0.012021857923497269,0.06611570247933884,0.011795543905635648,0.0007223374140841991,0.013953040483210163,0.0004767805577306779,0.005465581049077794,0.0,0.0,0.0,0.0,0.05970149253731343,0.05827555519512008,0.06611570247933884,0.07044465423275105,0.0007223374140841991,6.637530722764155e-08,0.0004767805577306779,0.0,0.0,0.0,0.0,0.0
0_277,0.014925373134328358,0.001366120218579235,0.024793388429752067,0.00218435998252512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.017196065467412484,0.024793388429752067,0.028818267640670886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_278,0.05472636815920398,0.006284153005464481,0.06611570247933884,0.00873743993010048,0.00020836656175505743,0.017790126616092958,0.0004767805577306779,0.01912953367177228,0.0,0.0,0.0,0.0,0.05472636815920398,0.04279909627444885,0.06611570247933884,0.05251328770077806,0.00020836656175505743,2.3895110601950955e-07,0.0004767805577306779,3.071220143993631e-16,0.0,0.0,0.0,0.0
0_28,0.04975124378109453,0.008469945355191256,0.05785123966942149,0.010921799912625601,0.0,0.008720650302006352,0.0,0.0032533220530224964,0.0,0.0,0.0,0.0,0.04975124378109453,0.05349887034306105,0.05785123966942149,0.0640405947570464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_31,0.024875621890547265,0.004098360655737705,0.04132231404958678,0.00655307994757536,0.0,0.0,0.0,0.009109301748462991,0.0,0.0,0.0,0.0,0.024875621890547265,0.02866010911235414,0.04132231404958678,0.04803044606778481,0.0,0.0,0.0,0.0,0.0,0.6633467259052709,0.0,0.0
0_38,0.11442786069651742,0.09699453551912568,0.10743801652892562,0.11227610310179117,0.02336483712480044,0.04185912144963049,0.012356562787853397,0.011711959390880988,0.0,0.0,0.0,0.0,0.11442786069651742,0.10939484651734936,0.10743801652892562,0.10561859128606221,0.02336483712480044,9.292543011869816e-07,0.012356562787853397,1.0576775311058437e-16,0.0,0.0,0.0,0.0
0_39,0.06965174129353234,0.034972677595628415,0.09090909090909091,0.04237658366098733,0.002014210096965555,0.014650692507370671,0.006277610676787257,0.02166712487312983,0.0,0.0,0.0,0.0,0.06965174129353234,0.06808823064834992,0.09090909090909091,0.09736457567169521,0.002014210096965555,0.0,0.006277610676787257,0.0,0.0,0.0,0.0,0.0
0_48,0.05970149253731343,0.01721311475409836,0.0743801652892562,0.019222367846221056,0.0011112883293603062,0.04395207752211201,0.0015495368126247028,0.037413203609758715,0.0,0.0,0.0,0.0,0.05970149253731343,0.0616192345915614,0.0743801652892562,0.0768487137084557,0.0011112883293603062,1.593007373463397e-07,0.0015495368126247028,7.976529303145871e-17,0.0,0.7020179712477278,0.0,0.0
0_62,0.03980099502487562,0.005737704918032787,0.049586776859504134,0.007426823940585408,0.0,0.048486815679155325,0.0004767805577306779,0.042163053807171565,0.0,0.0,0.0,0.0,0.03980099502487562,0.03190825481175427,0.049586776859504134,0.03426171819501983,0.0,1.2390057349159755e-07,0.0004767805577306779,4.605731520494145e-16,0.0,0.0,0.0,0.0
